22:36:57.944 | INFO  | [main] | org.springframework.boot.web.embedded.jetty.JettyServletWebServerFactory | getWebServer | 145:>>Server initialized with port: 8080
22:36:58.025 | INFO  | [main] | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext | prepareWebApplicationContext | 284:>>Root WebApplicationContext: initialization completed in 2033 ms
22:36:59.452 | INFO  | [main] | org.springframework.scheduling.concurrent.ExecutorConfigurationSupport | initialize | 181:>>Initializing ExecutorService 'applicationTaskExecutor'
22:36:59.801 | INFO  | [main] | org.springframework.web.servlet.FrameworkServlet | initServletBean | 525:>>Initializing Servlet 'dispatcherServlet'
22:36:59.814 | INFO  | [main] | org.springframework.web.servlet.FrameworkServlet | initServletBean | 547:>>Completed initialization in 10 ms
22:36:59.874 | INFO  | [main] | org.springframework.boot.web.embedded.jetty.JettyWebServer | start | 157:>>Jetty started on port(s) 8080 (http/1.1) with context path '/'
22:38:58.327 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'configurationProperties'
22:38:58.340 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'servletConfigInitParams'
22:38:58.341 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'servletContextInitParams'
22:38:58.341 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'systemProperties'
22:38:58.341 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'systemEnvironment'
22:38:58.342 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'random'
22:38:58.342 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 82:>>Searching for key 'logging.register-shutdown-hook' in PropertySource 'applicationConfig: [classpath:/application.yml]'
22:38:58.343 | TRACE | [main] | org.springframework.core.env.PropertySourcesPropertyResolver | getProperty | 96:>>Could not find key 'logging.register-shutdown-hook' in any property source
